Date;Time;Latitude;Longitude;Type
01.02.1965;13:44:18;19,246;145,616;Earthquake
01.04.1965;11:29:49;1,863;127,352;Earthquake
01.05.1965;18:05:58;-20,579;-173,972;Earthquake
01.08.1965;18:49:43;-59,076;-23,557;Earthquake
01.09.1965;13:32:50;11,938;126,427;Earthquake
01.10.1965;13:36:32;-13,405;166,629;Earthquake
01.12.1965;13:32:25;27,357;87,867;Earthquake
02.01.1965;5:27:06;-18,697;-177,864;Earthquake
02.02.1965;15:56:51;37,523;73,251;Earthquake
02.04.1965;3:25:00;-51,84;139,741;Earthquake
02.04.1965;5:01:22;51,251;178,715;Earthquake
02.04.1965;6:04:59;51,639;175,055;Earthquake
02.04.1965;6:37:06;52,528;172,007;Earthquake
02.04.1965;6:39:32;51,626;175,746;Earthquake
02.04.1965;7:11:23;51,037;177,848;Earthquake
02.04.1965;7:14:59;51,73;173,975;Earthquake
02.04.1965;7:23:12;51,775;173,058;Earthquake
02.04.1965;7:43:43;52,611;172,588;Earthquake
02.04.1965;8:06:17;51,831;174,368;Earthquake
02.04.1965;8:33:41;51,948;173,969;Earthquake
02.04.1965;8:40:44;51,443;179,605;Earthquake
02.04.1965;12:06:08;52,773;171,974;Earthquake
02.04.1965;12:50:59;51,772;174,696;Earthquake
02.04.1965;14:18:29;52,975;171,091;Earthquake
02.04.1965;15:51:25;52,99;170,874;Earthquake
02.04.1965;18:34:12;51,536;175,045;Earthquake
02.04.1965;19:44:04;13,245;-44,922;Earthquake
02.04.1965;22:30:03;51,812;174,206;Earthquake
02.05.1965;6:39:50;51,762;174,841;Earthquake
02.05.1965;9:32:11;52,438;174,321;Earthquake
02.05.1965;13:38:47;51,946;173,84;Earthquake
02.05.1965;20:47:12;51,738;174,566;Earthquake
02.05.1965;22:16:02;51,487;176,558;Earthquake
02.06.1965;1:40:32;53,008;-162,008;Earthquake
02.06.1965;4:02:54;52,184;175,505;Earthquake
02.06.1965;7:14:45;52,076;172,918;Earthquake
02.06.1965;12:22:28;51,744;175,213;Earthquake
02.06.1965;14:11:11;52,057;174,116;Earthquake
02.06.1965;16:50:29;53,191;-161,859;Earthquake
02.06.1965;18:10:30;51,447;176,469;Earthquake
02.07.1965;2:17:08;51,258;173,393;Earthquake
02.07.1965;4:11:22;52,031;175,411;Earthquake
02.07.1965;9:25:52;51,294;179,092;Earthquake
02.08.1965;15:46:52;55,223;165,426;Earthquake
